	Year	Mo	Day	HH	MM	Tair	RH	Wind	Rad	Pressure	Prec	When	DoY
0	2017	1	1	0	0	-12.8	76.6	1.111112	0.0	835.7	0.0	2017-01-01 00:00:00	1
1	2017	1	1	1	0	-12.2	75.7	1.0000008	0.0	835.2	0.0	2017-01-01 01:00:00	1
2	2017	1	1	2	0	-13.0	76.8	0.8888896000000002	0.0	834.7	0.0	2017-01-01 02:00:00	1
3	2017	1	1	3	0	-13.2	79.1	0.6111116000000001	0.0	834.1	0.0	2017-01-01 03:00:00	1
4	2017	1	1	4	0	-13.3	78.7	1.111112	0.0	833.7	0.0	2017-01-01 04:00:00	1
5	2017	1	1	5	0	-13.4	78.7	1.3055566	0.0	833.2	0.0	2017-01-01 05:00:00	1
6	2017	1	1	6	0	-14.2	80.5	1.111112	0.0	832.7	0.0	2017-01-01 06:00:00	1
7	2017	1	1	7	0	-13.8	79.3	0.8888896000000002	0.0	832.4	0.0	2017-01-01 07:00:00	1
8	2017	1	1	8	0	-13.6	79.5	1.0000008	10.0	832.3	0.0	2017-01-01 08:00:00	1
9	2017	1	1	9	0	-12.1	79.4	0.5000004	103.0	832.2	0.0	2017-01-01 09:00:00	1
10	2017	1	1	10	0	-7.3	70.8	0.3888892	290.0	831.8	0.0	2017-01-01 10:00:00	1
11	2017	1	1	11	0	-2.5	56.1	0.30555580000000004	364.0	831.0	0.0	2017-01-01 11:00:00	1
12	2017	1	1	12	0	0.7	39.7	0.3888892	386.0	830.0	0.0	2017-01-01 12:00:00	1
13	2017	1	1	13	0	3.4	28.5	0.8055562000000001	350.0	829.2	0.0	2017-01-01 13:00:00	1
14	2017	1	1	14	0	4.7	26.6	1.6111124000000001	263.0	828.6	0.0	2017-01-01 14:00:00	1
15	2017	1	1	15	0	2.3	32.6	3.1111136	140.0	828.7	0.0	2017-01-01 15:00:00	1
16	2017	1	1	16	0	-2.6	42.3	1.5000012000000003	9.0	828.7	0.0	2017-01-01 16:00:00	1
17	2017	1	1	17	0	-5.4	50.6	0.8055562000000001	0.0	828.8	0.0	2017-01-01 17:00:00	1
18	2017	1	1	18	0	-7.3	58.8	1.6111124000000001	0.0	829.1	0.0	2017-01-01 18:00:00	1
19	2017	1	1	19	0	-8.9	63.3	1.1944454	0.0	829.2	0.0	2017-01-01 19:00:00	1
20	2017	1	1	20	0	-9.2	64.4	1.1944454	0.0	829.3	0.0	2017-01-01 20:00:00	1
21	2017	1	1	21	0	-10.7	69.6	1.0000008	0.0	829.3	0.0	2017-01-01 21:00:00	1
22	2017	1	1	22	0	-11.2	72.6	0.8888896000000002	0.0	829.2	0.0	2017-01-01 22:00:00	1
23	2017	1	1	23	0	-12.9	77.7	1.3055566	0.0	829.4	0.0	2017-01-01 23:00:00	1
24	2017	1	2	0	0	-12.4	75.3	1.111112	0.0	829.3	0.0	2017-01-02 00:00:00	2
25	2017	1	2	1	0	-12.8	77.9	0.8055562000000001	0.0	829.2	0.0	2017-01-02 01:00:00	2
26	2017	1	2	2	0	-13.4	78.6	1.0000008	0.0	829.1	0.0	2017-01-02 02:00:00	2
27	2017	1	2	3	0	-13.9	80.8	1.0000008	0.0	828.9	0.0	2017-01-02 03:00:00	2
28	2017	1	2	4	0	-13.8	78.3	1.3055566	0.0	828.6	0.0	2017-01-02 04:00:00	2
29	2017	1	2	5	0	-14.0	79.6	0.8888896000000002	0.0	828.2	0.0	2017-01-02 05:00:00	2
30	2017	1	2	6	0	-14.5	80.2	0.8888896000000002	0.0	827.9	0.0	2017-01-02 06:00:00	2
31	2017	1	2	7	0	-14.7	80.4	1.0000008	0.0	827.9	0.0	2017-01-02 07:00:00	2
32	2017	1	2	8	0	-14.4	79.5	1.0000008	10.0	827.7	0.0	2017-01-02 08:00:00	2
33	2017	1	2	9	0	-12.6	76.6	0.6944450000000001	103.0	827.7	0.0	2017-01-02 09:00:00	2
34	2017	1	2	10	0	-8.5	70.5	0.5000004	289.0	827.3	0.0	2017-01-02 10:00:00	2
35	2017	1	2	11	0	-4.0	53.7	0.6111116000000001	371.0	826.5	0.0	2017-01-02 11:00:00	2
36	2017	1	2	12	0	-0.9	40.3	0.8888896000000002	306.0	825.5	0.0	2017-01-02 12:00:00	2
37	2017	1	2	13	0	1.6	30.5	2.5000020000000003	235.0	824.9	0.0	2017-01-02 13:00:00	2
38	2017	1	2	14	0	1.8	31.9	3.1111136	178.0	824.5	0.0	2017-01-02 14:00:00	2
39	2017	1	2	15	0	-0.9	38.5	1.3055566	80.0	824.4	0.0	2017-01-02 15:00:00	2
40	2017	1	2	16	0	-3.5	45.4	1.0000008	11.0	824.4	0.0	2017-01-02 16:00:00	2
41	2017	1	2	17	0	-5.6	53.7	1.1944454	0.0	824.3	0.0	2017-01-02 17:00:00	2
42	2017	1	2	18	0	-4.8	52.1	1.8888904000000002	0.0	824.4	0.0	2017-01-02 18:00:00	2
43	2017	1	2	19	0	-2.4	43.5	6.305560600000001	0.0	825.0	0.0	2017-01-02 19:00:00	2
44	2017	1	2	20	0	-3.3	49.8	4.111114400000001	0.0	825.8	0.0	2017-01-02 20:00:00	2
45	2017	1	2	21	0	-4.4	55.1	1.5000012000000003	0.0	825.9	0.0	2017-01-02 21:00:00	2
46	2017	1	2	22	0	-5.0	59.1	1.111112	0.0	825.5	0.0	2017-01-02 22:00:00	2
47	2017	1	2	23	0	-4.3	58.8	3.3055582000000006	0.0	825.4	0.0	2017-01-02 23:00:00	2
48	2017	1	3	0	0	-3.6	58.4	4.611114800000001	0.0	825.3	0.0	2017-01-03 00:00:00	3
49	2017	1	3	1	0	-4.1	57.3	2.6944466	0.0	825.7	0.0	2017-01-03 01:00:00	3
50	2017	1	3	2	0	-4.3	56.4	3.5000028000000003	0.0	826.1	0.0	2017-01-03 02:00:00	3
51	2017	1	3	3	0	-6.0	59.9	3.3055582000000006	0.0	826.4	0.0	2017-01-03 03:00:00	3
52	2017	1	3	4	0	-7.3	58.6	3.8055586000000003	0.0	826.7	0.0	2017-01-03 04:00:00	3
53	2017	1	3	5	0	-8.4	62.5	4.0000032	0.0	827.1	0.0	2017-01-03 05:00:00	3
54	2017	1	3	6	0	-9.3	60.6	1.805557	0.0	827.7	0.0	2017-01-03 06:00:00	3
55	2017	1	3	7	0	-10.6	64.6	1.6944458	0.0	828.2	0.0	2017-01-03 07:00:00	3
56	2017	1	3	8	0	-12.3	70.7	1.6111124000000001	9.0	828.7	0.0	2017-01-03 08:00:00	3
57	2017	1	3	9	0	-10.9	65.8	1.5000012000000003	103.0	829.3	0.0	2017-01-03 09:00:00	3
58	2017	1	3	10	0	-8.4	54.7	1.0000008	294.0	829.5	0.0	2017-01-03 10:00:00	3
59	2017	1	3	11	0	-6.8	45.0	1.3055566	369.0	829.3	0.0	2017-01-03 11:00:00	3
60	2017	1	3	12	0	-4.1	32.0	2.8055578000000003	391.0	828.7	0.0	2017-01-03 12:00:00	3
61	2017	1	3	13	0	-3.3	28.3	4.3888924000000005	355.0	828.0	0.0	2017-01-03 13:00:00	3
62	2017	1	3	14	0	-2.8	27.9	4.611114800000001	266.0	827.9	0.0	2017-01-03 14:00:00	3
63	2017	1	3	15	0	-3.5	31.9	4.888892800000001	143.0	828.3	0.0	2017-01-03 15:00:00	3
64	2017	1	3	16	0	-5.7	36.6	2.5000020000000003	12.0	828.7	0.0	2017-01-03 16:00:00	3
65	2017	1	3	17	0	-10.0	53.5	1.111112	0.0	828.7	0.0	2017-01-03 17:00:00	3
66	2017	1	3	18	0	-12.1	61.1	1.6944458	0.0	829.0	0.0	2017-01-03 18:00:00	3
67	2017	1	3	19	0	-12.1	59.3	1.6944458	0.0	829.4	0.0	2017-01-03 19:00:00	3
68	2017	1	3	20	0	-13.5	66.8	1.3055566	0.0	829.5	0.0	2017-01-03 20:00:00	3
69	2017	1	3	21	0	-13.1	67.5	0.8888896000000002	0.0	829.3	0.0	2017-01-03 21:00:00	3
70	2017	1	3	22	0	-11.9	67.5	0.8055562000000001	0.0	829.3	0.0	2017-01-03 22:00:00	3
71	2017	1	3	23	0	-11.0	68.1	0.8888896000000002	0.0	828.9	0.0	2017-01-03 23:00:00	3
72	2017	1	4	0	0	-9.9	64.9	0.6111116000000001	0.0	828.5	0.0	2017-01-04 00:00:00	4
73	2017	1	4	1	0	-10.1	65.0	1.3055566	0.0	828.1	0.0	2017-01-04 01:00:00	4
74	2017	1	4	2	0	-9.5	63.8	1.111112	0.0	827.4	0.0	2017-01-04 02:00:00	4
75	2017	1	4	3	0	-9.6	65.0	0.8888896000000002	0.0	827.1	0.0	2017-01-04 03:00:00	4
76	2017	1	4	4	0	-9.2	64.3	1.111112	0.0	826.3	0.0	2017-01-04 04:00:00	4
77	2017	1	4	5	0	-8.8	66.3	1.111112	0.0	825.5	0.0	2017-01-04 05:00:00	4
78	2017	1	4	6	0	-7.9	64.2	1.5000012000000003	0.0	824.6	0.0	2017-01-04 06:00:00	4
79	2017	1	4	7	0	-3.4	58.7	5.1111152	0.0	823.9	0.0	2017-01-04 07:00:00	4
80	2017	1	4	8	0	-1.3	67.2	7.000005600000001	17.0	823.9	0.0	2017-01-04 08:00:00	4
81	2017	1	4	9	0	-3.4	86.6	5.1944486	59.0	824.1	0.0	2017-01-04 09:00:00	4
82	2017	1	4	10	0	-2.5	84.8	2.8888912	118.0	824.0	0.0	2017-01-04 10:00:00	4
83	2017	1	4	11	0	0.3	59.0	5.500004400000001	308.0	823.2	0.0	2017-01-04 11:00:00	4
84	2017	1	4	12	0	1.8	38.8	9.611118800000002	400.0	822.1	0.0	2017-01-04 12:00:00	4
85	2017	1	4	13	0	2.3	31.2	8.611118000000001	398.0	821.3	0.0	2017-01-04 13:00:00	4
86	2017	1	4	14	0	1.4	29.3	5.8055602	156.0	820.9	0.0	2017-01-04 14:00:00	4
87	2017	1	4	15	0	-1.9	53.3	6.694449800000001	35.0	821.3	0.0	2017-01-04 15:00:00	4
88	2017	1	4	16	0	-3.6	68.4	5.1111152	3.0	821.2	0.0	2017-01-04 16:00:00	4
89	2017	1	4	17	0	-3.5	65.5	1.6944458	0.0	820.3	0.0	2017-01-04 17:00:00	4
90	2017	1	4	18	0	-3.1	56.0	5.8888936	0.0	819.1	0.0	2017-01-04 18:00:00	4
91	2017	1	4	19	0	-3.9	59.2	7.305561400000001	0.0	819.0	0.0	2017-01-04 19:00:00	4
92	2017	1	4	20	0	-5.5	70.3	6.5000052	0.0	819.2	0.0	2017-01-04 20:00:00	4
93	2017	1	4	21	0	-6.5	83.5	1.805557	0.0	819.2	0.1	2017-01-04 21:00:00	4
94	2017	1	4	22	0	-6.3	82.6	3.5000028000000003	0.0	819.9	0.1	2017-01-04 22:00:00	4
95	2017	1	4	23	0	-7.1	69.1	4.0000032	0.0	820.7	0.0	2017-01-04 23:00:00	4
96	2017	1	5	0	0	-7.8	70.0	2.6111132	0.0	820.6	0.0	2017-01-05 00:00:00	5
97	2017	1	5	1	0	-8.7	87.3	0.5000004	0.0	820.5	0.5	2017-01-05 01:00:00	5
98	2017	1	5	2	0	-8.7	88.3	1.1944454	0.0	820.1	0.5	2017-01-05 02:00:00	5
99	2017	1	5	3	0	-8.7	91.7	1.6944458	0.0	819.7	1.0	2017-01-05 03:00:00	5
100	2017	1	5	4	0	-8.3	87.0	4.6944482	0.0	819.6	0.8	2017-01-05 04:00:00	5
101	2017	1	5	5	0	-8.5	72.0	8.500006800000001	0.0	820.2	0.0	2017-01-05 05:00:00	5
102	2017	1	5	6	0	-8.9	65.3	7.8888952	0.0	821.0	0.0	2017-01-05 06:00:00	5
103	2017	1	5	7	0	-9.7	71.0	5.1111152	0.0	821.6	0.0	2017-01-05 07:00:00	5
104	2017	1	5	8	0	-10.0	79.9	3.3888916	4.0	822.0	0.3	2017-01-05 08:00:00	5
105	2017	1	5	9	0	-10.3	82.7	3.8055586000000003	28.0	822.5	0.9	2017-01-05 09:00:00	5
106	2017	1	5	10	0	-9.9	74.9	4.111114400000001	93.0	823.2	0.4	2017-01-05 10:00:00	5
107	2017	1	5	11	0	-9.8	67.1	4.3888924000000005	154.0	822.9	0.0	2017-01-05 11:00:00	5
108	2017	1	5	12	0	-9.7	66.9	3.611114	110.0	822.5	0.0	2017-01-05 12:00:00	5
109	2017	1	5	13	0	-9.7	65.5	6.694449800000001	101.0	822.6	0.0	2017-01-05 13:00:00	5
110	2017	1	5	14	0	-9.9	60.5	9.194451800000001	91.0	823.0	0.0	2017-01-05 14:00:00	5
111	2017	1	5	15	0	-10.3	58.3	7.8888952	43.0	823.9	0.0	2017-01-05 15:00:00	5
112	2017	1	5	16	0	-10.6	63.5	6.611116400000001	7.0	824.6	0.0	2017-01-05 16:00:00	5
113	2017	1	5	17	0	-11.1	56.7	7.000005600000001	0.0	825.7	0.0	2017-01-05 17:00:00	5
114	2017	1	5	18	0	-11.5	53.2	9.0000072	0.0	825.9	0.0	2017-01-05 18:00:00	5
115	2017	1	5	19	0	-11.6	51.6	10.000008000000001	0.0	826.2	0.0	2017-01-05 19:00:00	5
116	2017	1	5	20	0	-11.8	55.2	9.611118800000002	0.0	826.8	0.0	2017-01-05 20:00:00	5
117	2017	1	5	21	0	-11.8	56.3	8.888896	0.0	827.2	0.0	2017-01-05 21:00:00	5
118	2017	1	5	22	0	-12.2	52.1	7.500006000000001	0.0	827.9	0.0	2017-01-05 22:00:00	5
119	2017	1	5	23	0	-12.5	49.6	4.805559400000001	0.0	828.6	0.0	2017-01-05 23:00:00	5
120	2017	1	6	0	0	-12.6	46.0	6.111116000000001	0.0	829.2	0.0	2017-01-06 00:00:00	6
121	2017	1	6	1	0	-12.9	46.4	5.611115600000001	0.0	829.8	0.0	2017-01-06 01:00:00	6
122	2017	1	6	2	0	-13.9	51.1	3.6944474000000005	0.0	830.2	0.0	2017-01-06 02:00:00	6
123	2017	1	6	3	0	-16.3	61.9	2.1111128	0.0	830.5	0.0	2017-01-06 03:00:00	6
124	2017	1	6	4	0	-18.5	70.7	1.3055566	0.0	830.9	0.0	2017-01-06 04:00:00	6
125	2017	1	6	5	0	-19.0	71.8	1.805557	0.0	831.3	0.0	2017-01-06 05:00:00	6
126	2017	1	6	6	0	-20.2	75.4	0.8055562000000001	0.0	831.7	0.0	2017-01-06 06:00:00	6
127	2017	1	6	7	0	-21.5	78.8	1.1944454	0.0	832.1	0.0	2017-01-06 07:00:00	6
128	2017	1	6	8	0	-21.9	80.0	1.3055566	11.0	832.8	0.0	2017-01-06 08:00:00	6
129	2017	1	6	9	0	-21.8	79.6	0.8888896000000002	108.0	833.3	0.0	2017-01-06 09:00:00	6
130	2017	1	6	10	0	-18.6	69.3	0.5000004	306.0	833.4	0.0	2017-01-06 10:00:00	6
131	2017	1	6	11	0	-16.3	62.8	2.1944462000000002	384.0	833.1	0.0	2017-01-06 11:00:00	6
132	2017	1	6	12	0	-13.7	55.9	6.694449800000001	407.0	832.5	0.0	2017-01-06 12:00:00	6
133	2017	1	6	13	0	-12.4	48.5	5.500004400000001	372.0	832.2	0.0	2017-01-06 13:00:00	6
134	2017	1	6	14	0	-11.4	42.7	4.611114800000001	284.0	832.0	0.0	2017-01-06 14:00:00	6
135	2017	1	6	15	0	-12.3	47.6	6.111116000000001	159.0	831.8	0.0	2017-01-06 15:00:00	6
136	2017	1	6	16	0	-13.8	60.3	7.8888952	16.0	832.0	0.0	2017-01-06 16:00:00	6
137	2017	1	6	17	0	-15.9	66.3	2.0000016	0.0	832.5	0.0	2017-01-06 17:00:00	6
138	2017	1	6	18	0	-18.5	75.4	0.6944450000000001	0.0	832.7	0.0	2017-01-06 18:00:00	6
139	2017	1	6	19	0	-19.4	77.0	1.5000012000000003	0.0	833.1	0.0	2017-01-06 19:00:00	6
140	2017	1	6	20	0	-20.6	77.5	1.5000012000000003	0.0	833.3	0.0	2017-01-06 20:00:00	6
141	2017	1	6	21	0	-21.4	78.4	1.6944458	0.0	833.3	0.0	2017-01-06 21:00:00	6
142	2017	1	6	22	0	-22.2	80.6	1.3888900000000002	0.0	833.5	0.0	2017-01-06 22:00:00	6
143	2017	1	6	23	0	-22.1	79.1	1.1944454	0.0	833.5	0.0	2017-01-06 23:00:00	6
144	2017	1	7	0	0	-23.3	80.4	0.8888896000000002	0.0	833.4	0.0	2017-01-07 00:00:00	7
145	2017	1	7	1	0	-23.8	81.0	1.111112	0.0	833.4	0.0	2017-01-07 01:00:00	7
146	2017	1	7	2	0	-23.8	81.4	0.8055562000000001	0.0	833.5	0.0	2017-01-07 02:00:00	7
147	2017	1	7	3	0	-24.3	80.6	0.6111116000000001	0.0	833.4	0.0	2017-01-07 03:00:00	7
148	2017	1	7	4	0	-24.1	81.3	0.8055562000000001	0.0	833.5	0.0	2017-01-07 04:00:00	7
149	2017	1	7	5	0	-24.1	80.0	0.8055562000000001	0.0	833.4	0.0	2017-01-07 05:00:00	7
150	2017	1	7	6	0	-24.8	79.9	1.0000008	0.0	833.2	0.0	2017-01-07 06:00:00	7
151	2017	1	7	7	0	-24.4	79.3	0.8888896000000002	0.0	833.4	0.0	2017-01-07 07:00:00	7
152	2017	1	7	8	0	-22.8	78.2	0.8888896000000002	29.0	833.6	0.0	2017-01-07 08:00:00	7
153	2017	1	7	9	0	-22.1	80.4	0.6944450000000001	115.0	833.1	0.0	2017-01-07 09:00:00	7
154	2017	1	7	10	0	-17.6	73.2	1.0000008	239.0	833.2	0.0	2017-01-07 10:00:00	7
155	2017	1	7	11	0	-13.7	68.0	1.1944454	373.0	832.5	0.0	2017-01-07 11:00:00	7
156	2017	1	7	12	0	-10.8	63.0	0.6944450000000001	217.0	832.0	0.0	2017-01-07 12:00:00	7
157	2017	1	7	13	0	-7.7	56.2	1.0000008	157.0	831.7	0.0	2017-01-07 13:00:00	7
158	2017	1	7	14	0	-4.7	44.8	3.611114	152.0	831.5	0.0	2017-01-07 14:00:00	7
159	2017	1	7	15	0	-4.1	46.6	3.5000028000000003	64.0	831.4	0.0	2017-01-07 15:00:00	7
160	2017	1	7	16	0	-4.5	54.9	3.8888920000000002	11.0	831.7	0.0	2017-01-07 16:00:00	7
161	2017	1	7	17	0	-4.8	57.5	3.1111136	0.0	831.5	0.0	2017-01-07 17:00:00	7
162	2017	1	7	18	0	-6.5	71.6	1.6944458	0.0	831.7	0.0	2017-01-07 18:00:00	7
163	2017	1	7	19	0	-6.1	69.9	1.1944454	0.0	831.5	0.0	2017-01-07 19:00:00	7
164	2017	1	7	20	0	-7.1	77.3	1.111112	0.0	831.2	0.0	2017-01-07 20:00:00	7
165	2017	1	7	21	0	-7.4	80.1	1.3888900000000002	0.0	830.8	0.0	2017-01-07 21:00:00	7
166	2017	1	7	22	0	-7.1	81.0	1.1944454	0.0	830.5	0.0	2017-01-07 22:00:00	7
167	2017	1	7	23	0	-6.7	84.5	1.111112	0.0	830.2	0.0	2017-01-07 23:00:00	7
168	2017	1	8	0	0	-6.5	88.6	1.111112	0.0	830.0	0.0	2017-01-08 00:00:00	8
169	2017	1	8	1	0	-6.5	90.7	0.8888896000000002	0.0	829.6	0.0	2017-01-08 01:00:00	8
170	2017	1	8	2	0	-6.2	89.8	1.111112	0.0	829.2	0.1	2017-01-08 02:00:00	8
171	2017	1	8	3	0	-5.6	90.2	1.3055566	0.0	828.9	0.0	2017-01-08 03:00:00	8
172	2017	1	8	4	0	-4.7	89.3	1.6944458	0.0	828.5	0.1	2017-01-08 04:00:00	8
173	2017	1	8	5	0	-3.6	86.5	3.6944474000000005	0.0	828.4	0.0	2017-01-08 05:00:00	8
174	2017	1	8	6	0	-3.6	86.8	3.6944474000000005	0.0	828.6	0.0	2017-01-08 06:00:00	8
175	2017	1	8	7	0	-3.8	83.2	1.3055566	0.0	829.0	0.0	2017-01-08 07:00:00	8
176	2017	1	8	8	0	-3.8	80.1	1.3888900000000002	24.0	829.4	0.0	2017-01-08 08:00:00	8
177	2017	1	8	9	0	-2.7	66.4	2.1111128	172.0	829.5	0.0	2017-01-08 09:00:00	8
178	2017	1	8	10	0	-1.9	56.3	2.8888912	230.0	829.5	0.0	2017-01-08 10:00:00	8
179	2017	1	8	11	0	-2.8	68.6	2.1111128	114.0	829.7	0.0	2017-01-08 11:00:00	8
180	2017	1	8	12	0	-3.1	71.4	2.6111132	160.0	829.4	0.0	2017-01-08 12:00:00	8
181	2017	1	8	13	0	-2.5	61.3	1.3888900000000002	227.0	829.1	0.0	2017-01-08 13:00:00	8
182	2017	1	8	14	0	-2.6	48.6	2.0000016	186.0	828.7	0.0	2017-01-08 14:00:00	8
183	2017	1	8	15	0	-3.6	45.8	2.1111128	168.0	829.1	0.0	2017-01-08 15:00:00	8
184	2017	1	8	16	0	-5.2	50.7	3.1944470000000003	10.0	829.8	0.0	2017-01-08 16:00:00	8
185	2017	1	8	17	0	-7.1	57.9	2.1111128	0.0	830.4	0.0	2017-01-08 17:00:00	8
186	2017	1	8	18	0	-10.2	70.4	1.6944458	0.0	830.8	0.0	2017-01-08 18:00:00	8
187	2017	1	8	19	0	-12.9	76.5	2.0000016	0.0	831.1	0.0	2017-01-08 19:00:00	8
188	2017	1	8	20	0	-13.8	79.4	1.5000012000000003	0.0	831.1	0.0	2017-01-08 20:00:00	8
189	2017	1	8	21	0	-14.2	83.1	0.6944450000000001	0.0	831.6	0.0	2017-01-08 21:00:00	8
190	2017	1	8	22	0	-15.2	83.7	1.5000012000000003	0.0	831.8	0.0	2017-01-08 22:00:00	8
191	2017	1	8	23	0	-16.1	82.7	1.6944458	0.0	831.9	0.0	2017-01-08 23:00:00	8
192	2017	1	9	0	0	-17.4	82.5	1.1944454	0.0	831.7	0.0	2017-01-09 00:00:00	9
193	2017	1	9	1	0	-18.0	85.1	1.111112	0.0	831.5	0.0	2017-01-09 01:00:00	9
194	2017	1	9	2	0	-18.2	85.6	0.8055562000000001	0.0	831.5	0.0	2017-01-09 02:00:00	9
195	2017	1	9	3	0	-19.1	86.6	0.8888896000000002	0.0	831.4	0.0	2017-01-09 03:00:00	9
196	2017	1	9	4	0	-20.0	84.6	0.8055562000000001	0.0	831.3	0.0	2017-01-09 04:00:00	9
197	2017	1	9	5	0	-20.3	85.2	0.6944450000000001	0.0	831.1	0.0	2017-01-09 05:00:00	9
198	2017	1	9	6	0	-20.6	85.3	0.8055562000000001	0.0	831.0	0.0	2017-01-09 06:00:00	9
199	2017	1	9	7	0	-20.6	85.3	0.6944450000000001	0.0	830.8	0.0	2017-01-09 07:00:00	9
200	2017	1	9	8	0	-21.3	83.9	0.6111116000000001	11.0	830.9	0.0	2017-01-09 08:00:00	9
201	2017	1	9	9	0	-20.0	85.5	0.3888892	108.0	830.6	0.0	2017-01-09 09:00:00	9
202	2017	1	9	10	0	-19.0	85.1	0.3888892	311.0	830.3	0.0	2017-01-09 10:00:00	9
203	2017	1	9	11	0	-15.6	81.7	0.3888892	390.0	829.7	0.0	2017-01-09 11:00:00	9
204	2017	1	9	12	0	-12.9	75.9	0.1944446	417.0	828.7	0.0	2017-01-09 12:00:00	9
205	2017	1	9	13	0	-10.1	66.3	0.6111116000000001	383.0	827.9	0.0	2017-01-09 13:00:00	9
206	2017	1	9	14	0	-8.3	57.8	0.3888892	295.0	827.3	0.0	2017-01-09 14:00:00	9
207	2017	1	9	15	0	-7.4	56.3	0.5000004	173.0	826.6	0.0	2017-01-09 15:00:00	9
208	2017	1	9	16	0	-10.4	67.7	0.6944450000000001	22.0	826.4	0.0	2017-01-09 16:00:00	9
209	2017	1	9	17	0	-13.4	75.7	1.3055566	0.0	826.7	0.0	2017-01-09 17:00:00	9
210	2017	1	9	18	0	-14.9	78.6	0.8888896000000002	0.0	826.7	0.0	2017-01-09 18:00:00	9
211	2017	1	9	19	0	-16.0	80.6	1.1944454	0.0	826.5	0.0	2017-01-09 19:00:00	9
212	2017	1	9	20	0	-17.1	81.9	1.111112	0.0	826.2	0.0	2017-01-09 20:00:00	9
213	2017	1	9	21	0	-17.9	82.4	1.111112	0.0	825.7	0.0	2017-01-09 21:00:00	9
214	2017	1	9	22	0	-18.7	83.3	0.6944450000000001	0.0	825.1	0.0	2017-01-09 22:00:00	9
215	2017	1	9	23	0	-18.1	82.1	0.8888896000000002	0.0	824.2	0.0	2017-01-09 23:00:00	9
216	2017	1	10	0	0	-18.9	86.0	0.8055562000000001	0.0	823.2	0.0	2017-01-10 00:00:00	10
217	2017	1	10	1	0	-18.1	80.7	1.111112	0.0	822.3	0.0	2017-01-10 01:00:00	10
218	2017	1	10	2	0	-18.5	82.2	0.8055562000000001	0.0	821.9	0.0	2017-01-10 02:00:00	10
219	2017	1	10	3	0	-18.6	83.4	0.8055562000000001	0.0	821.4	0.0	2017-01-10 03:00:00	10
220	2017	1	10	4	0	-19.0	82.6	0.8055562000000001	0.0	820.6	0.0	2017-01-10 04:00:00	10
221	2017	1	10	5	0	-18.6	81.8	0.8888896000000002	0.0	820.0	0.0	2017-01-10 05:00:00	10
222	2017	1	10	6	0	-18.5	81.2	0.8888896000000002	0.0	819.4	0.0	2017-01-10 06:00:00	10
223	2017	1	10	7	0	-18.4	81.7	0.8888896000000002	0.0	819.1	0.0	2017-01-10 07:00:00	10
224	2017	1	10	8	0	-17.5	81.2	0.5000004	25.0	818.7	0.0	2017-01-10 08:00:00	10
225	2017	1	10	9	0	-16.4	78.3	0.8055562000000001	114.0	818.1	0.0	2017-01-10 09:00:00	10
226	2017	1	10	10	0	-13.8	75.1	0.6111116000000001	163.0	817.5	0.0	2017-01-10 10:00:00	10
227	2017	1	10	11	0	-11.4	65.7	0.6111116000000001	205.0	817.0	0.0	2017-01-10 11:00:00	10
228	2017	1	10	12	0	-6.4	55.2	4.3888924000000005	260.0	816.4	0.0	2017-01-10 12:00:00	10
229	2017	1	10	13	0	-6.6	64.7	5.3888932	263.0	816.0	0.0	2017-01-10 13:00:00	10
230	2017	1	10	14	0	-6.9	69.0	4.111114400000001	223.0	815.7	0.0	2017-01-10 14:00:00	10
231	2017	1	10	15	0	-7.3	72.3	3.1111136	102.0	815.5	0.0	2017-01-10 15:00:00	10
232	2017	1	10	16	0	-8.6	76.7	2.6944466	20.0	816.0	0.0	2017-01-10 16:00:00	10
233	2017	1	10	17	0	-10.0	80.7	2.3888908	0.0	816.6	0.0	2017-01-10 17:00:00	10
234	2017	1	10	18	0	-12.2	83.4	1.6944458	0.0	817.1	0.0	2017-01-10 18:00:00	10
235	2017	1	10	19	0	-13.7	81.6	1.5000012000000003	0.0	817.7	0.0	2017-01-10 19:00:00	10
236	2017	1	10	20	0	-13.9	81.9	1.3888900000000002	0.0	818.0	0.0	2017-01-10 20:00:00	10
237	2017	1	10	21	0	-12.5	81.1	0.8055562000000001	0.0	818.4	0.0	2017-01-10 21:00:00	10
238	2017	1	10	22	0	-11.7	79.5	1.0000008	0.0	818.4	0.0	2017-01-10 22:00:00	10
239	2017	1	10	23	0	-12.0	82.6	1.0000008	0.0	818.5	0.0	2017-01-10 23:00:00	10
240	2017	1	11	0	0	-12.3	83.3	1.1944454	0.0	818.8	0.0	2017-01-11 00:00:00	11
241	2017	1	11	1	0	-11.6	82.9	0.8888896000000002	0.0	819.3	0.0	2017-01-11 01:00:00	11
242	2017	1	11	2	0	-11.2	83.3	0.8055562000000001	0.0	819.7	0.0	2017-01-11 02:00:00	11
243	2017	1	11	3	0	-11.3	85.2	0.8055562000000001	0.0	820.0	0.0	2017-01-11 03:00:00	11
244	2017	1	11	4	0	-10.8	84.7	0.8888896000000002	0.0	820.2	0.0	2017-01-11 04:00:00	11
245	2017	1	11	5	0	-10.5	84.9	1.111112	0.0	820.4	0.0	2017-01-11 05:00:00	11
246	2017	1	11	6	0	-10.5	84.4	1.1944454	0.0	820.8	0.0	2017-01-11 06:00:00	11
247	2017	1	11	7	0	-10.2	82.1	1.6944458	0.0	821.2	0.0	2017-01-11 07:00:00	11
